2018-04-26 16:43:18,302 [Worker-29] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:43:18,319 [Worker-29] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:48:30,781 [Worker-38] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: MqttClient:MqttClient:0.0.1-SNAPSHOT @ C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\pom.xml.
2018-04-26 16:48:31,631 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:48:31,640 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:48:31,647 [Worker-38] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:48:31,662 [Worker-38] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:53:04,688 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:53:04,698 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:53:04,706 [Worker-37] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:53:04,722 [Worker-37] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
2018-04-26 16:53:23,241 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:53:23,263 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\main\resources
2018-04-26 16:53:23,279 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-04-26 16:53:23,303 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\Higor Pinheiro\Documents\GitHub\ProjetosSistemasConcorretes\TrabalhoMQTT\mqttclient\MqttClient\src\test\resources
